filename,tsne_dim1,tsne_dim2
DB0-m2_o1_o15_f0_nbo.sym.71_repeat,-22.291767,33.251995
DB0-m2_o1_o15_f0_nbo.sym.72_repeat,-21.586807,30.447794
DB0-m2_o1_o15_f0_nbo.sym.74_repeat,-22.402412,33.315563
DB0-m2_o1_o15_f0_nbo.sym.76_repeat,-7.553435,9.327679
DB0-m2_o1_o15_f0_nbo.sym.77_repeat,-7.323097,8.938347
DB0-m2_o1_o15_f0_nbo.sym.79_repeat,-21.6115,-49.16168
DB0-m2_o1_o15_f0_nbo.sym.8_repeat,-19.561646,27.09563
DB0-m2_o1_o15_f0_nbo.sym.82_repeat,-21.676674,30.064056
DB0-m2_o1_o15_f0_nbo.sym.86_repeat,-20.881617,32.395256
DB0-m2_o1_o15_f0_nbo.sym.88_repeat,-22.613531,33.51141
DB0-m2_o1_o15_f0_nbo.sym.9_repeat,-21.285551,29.563818
DB0-m2_o1_o15_f0_nbo.sym.92_repeat,-22.684654,33.67216
DB0-m2_o1_o15_f0_nbo.sym.97_repeat,-21.332209,29.699545
DB0-m2_o1_o15_f0_nbo_repeat,-21.008327,29.786077
DB0-m2_o1_o17_f0_nbo.sym.10_repeat,2.5518928,-41.21646
DB0-m2_o1_o17_f0_nbo.sym.101_repeat,8.343329,-75.15075
DB0-m2_o1_o17_f0_nbo.sym.102_repeat,8.324417,-75.06021
